cpubid	momid	nonwhite	mage	mom_grade	momtest	csex2	childage	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	spouse_yn	spouse_age	spouse_grade	family_size	hincome	test_pcntl
1219301	12193	1	39	15	9	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	28
252802	2528	0	30	12	9	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	14
259903	2599	0	38	12	13	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	91
624302	6243	1	33	13	16	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	51
607603	6076	1	43	15	36	1	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.09861	0	49
1059001	10590	1	33	13	17	1	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	5
600703	6007	1	32	11	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	2
834301	8343	1	24	13	10	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	5
487002	4870	0	41	17	72	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.09861	0	63
840501	8405	1	42	10	3	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.09861	0	44
934102	9341	1	35	15	27	1	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	28
843402	8434	1	31	12	48	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
234702	2347	1	24	11	19	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19722	0	15
107001	1070	1	27	12	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	48
449601	4496	0	28	12	66	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	78
826902	8269	1	31	12	3	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	54
1053804	10538	1	39	11	7	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	38	8	1.60944	0	64
868501	8685	1	26	12	23	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	15	1.60944	0	68
344601	3446	0	29	12	48	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	59
590603	5906	1	37	10	13	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	34
39702	397	1	31	9	3	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	62
4303	43	0	42	12	13	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.38629	0	51
546501	5465	1	27	11	6	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	94
546502	5465	1	26	11	6	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	87
709701	7097	1	28	14	18	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	52
784901	7849	1	26	12	1	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	68
17201	172	0	42	9	1	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	.693147	0	84
364801	3648	0	29	12	35	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	2
221202	2212	1	34	12	13	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	75
569001	5690	1	40	18	75	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	.693147	0	85
422003	4220	0	38	10	44	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	39	12	1.60944	0	44
821005	8210	1	42	10	11	1	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11
521604	5216	0	44	9	8	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.09861	0	11
202101	2021	0	28	12	71	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	83
834501	8345	1	26	12	12	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	31	12	1.38629	0	65
745903	7459	1	41	9	13	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.60944	0	82
992201	9922	1	27	12	25	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43	13	1.09861	0	82
505902	5059	1	37	14	23	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	92
143801	1438	1	23	12	4	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	65
124401	1244	0	26	9	7	1	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	43
239603	2396	1	30	10	7	1	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	16
75904	759	1	43	13	15	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.60944	0	24
121301	1213	1	27	11	4	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	44
1219404	12194	1	35	9	35	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	36	12	1.79176	0	87
955801	9558	1	27	11	3	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07944	0	68
164902	1649	1	43	11	4	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.60944	0	27
141502	1415	1	27	8	6	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94591	0	12
744602	7446	1	37	12	2	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.09861	0	53
417803	4178	1	39	12	4	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.09861	0	66
239803	2398	0	39	10	23	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	15
332501	3325	1	27	12	8	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	58
706402	7064	1	41	12	13	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.09861	0	2
22803	228	1	43	9	2	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	39	12	1.60944	0	1
22802	228	1	42	9	2	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	39	12	1.60944	0	1
22804	228	1	42	9	2	1	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	39	12	1.60944	0	3
826903	8269	1	36	12	3	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	15
265507	2655	1	41	10	8	1	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2.07944	0	39
4304	43	0	46	12	13	1	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.38629	0	32
718302	7183	1	31	12	18	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	56
83001	830	1	26	12	30	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	61
419905	4199	1	34	10	9	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	12
131302	1313	1	38	12	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.79176	0	50
1007202	10072	1	31	8	5	1	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	30	6	1.38629	0	27
1007201	10072	1	31	8	5	1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	30	6	1.38629	0	42
469004	4690	0	34	12	80	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	36	12	1.79176	0	84
1220102	12201	1	34	11	5	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	36
850202	8502	1	25	9	21	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	22
850201	8502	1	25	9	21	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	4
1011301	10113	1	26	9	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
637101	6371	1	26	10	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	95
1011302	10113	1	26	9	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
1053203	10532	1	40	12	13	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.30259	0	66
752404	7524	1	42	12	2	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.60944	0	39
752403	7524	1	42	12	2	1	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.60944	0	1
494704	4947	1	44	9	5	1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1.09861	0	23
416901	4169	1	44	12	18	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	.693147	0	80
997202	9972	1	37	12	4	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.38629	0	71
325002	3250	0	33	14	99	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	15
715805	7158	1	41	10	3	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.79176	0	80
695201	6952	1	27	12	13	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	43
625901	6259	1	29	10	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	26
76405	764	1	34	14	21	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.60944	0	63
224001	2240	0	24	11	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	82
384202	3842	1	27	9	53	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	65
68801	688	0	33	13	35	1	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.09861	0	51
184001	1840	1	25	12	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.693147	0	84
638403	6384	1	38	12	20	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1.60944	0	1
